   1  [A score= 13]  Love is what it’s all for.
   2  [A score= 13]  Love is a verb. Do it daily.
   3  [A score= 12]  Take matters into your own hands.
   4  [A score= 12]  Act like an owner to gain ownership.
   5  [A score= 12]  Be an opportunity detector and sniper.
   6  [A score= 12]  Build windmills before the wind blows.
   7  [A score= 12]  Be clear about what game you're playing.
   8  [A score= 12]  Don't project your frugality onto others.
   9  [A score= 12]  Be grateful for your para-social mentors.
  10  [A score= 12]  Give into the placebo, it actually helps.
  11  [A score= 12]  Do it casually on purpose to get started.
  12  [A score= 12]  Find the explanation behind the statistics.
  13  [A score= 12]  Use LLMs to digest and catalyze text / ideas.
  14  [A score= 12]  Don't take the concept of "God" too literally.
  15  [A score= 12]  Love and death summon courage and clarify things.
  16  [A score= 12]  Close loops and get all the balls out of your court.
  17  [A score= 12]  Keep the sabbath holy. Remember what matters in life.
  18  [A score= 12]  Have a theory of mind for others. Empathy some call it.
  19  [A score= 12]  Take children more seriously. Take adults less seriously.
  20  [A score= 12]  Listen to someone's mother tongue to hear their true articulation.
  21  [A score= 12]  Don't disturb people with headphones on! Common sense ain't so common.
  22  [A score= 11]  Love is a verb.
  23  [A score= 11]  Remember that you are free.
  24  [A score= 11]  Trust is rebuilt when the track record is solid
  25  [A score= 11]  keep subtracting, and what is left, is the answer.
  26  [A score= 11]  Love is a language. You may not speak the same one, from person to person.
  27  [A score= 10]  Set the truth free.
  28  [A score= 10]  Be loyal to yourself.
  29  [A score= 10]  Let the magic emerge.
  30  [A score= 10]  Keep the flame alive.
  31  [A score= 10]  Be an amazing ancestor.
  32  [A score= 10]  Be a good PageRank node.
  33  [A score= 10]  Let your people be bored.
  34  [A score= 10]  Trust actions, not words.
  35  [A score= 10]  Create, play, enjoy, solve.
  36  [A score= 10]  Build your economic engine.
  37  [A score= 10]  Be an adventure capitalist.
  38  [A score= 10]  Create the new lindy things.
  39  [A score= 10]  Make room for unknown angels.
  40  [A score= 10]  Be a proactive problem-solver.
  41  [A score= 10]  Be on the beat of the universe
  42  [A score= 10]  Build whatever stops the bleeding.
  43  [A score= 10]  Begin with the problem or the people
  44  [A score= 10]  Listen to your cognitive dissonance.
  45  [A score= 10]  Don't be an "intellectual yet idiot."
  46  [A score= 10]  Take God symbolically, not literally.
  47  [A score= 10]  follow the why and the wow. wonderism.
  48  [A score= 10]  pick the right door before you lock in.
  49  [A score= 10]  be both clear thinker and clear feeler.
  50  [A score= 10]  Build and participate in superorganisms.
  51  [A score= 10]  do not demonize or deify any one method.
  52  [A score= 10]  be free from the shackles of expectation.
  53  [A score= 10]  Love remedies fear, also death can do this
  54  [A score= 10]  make errors, correct errors. create, curate.
  55  [A score= 10]  Take children seriously, including yourself.
  56  [A score= 10]  Find and buy the solution or make and sell it
  57  [A score= 10]  learn how to self-untangle. s tier life skill.
  58  [A score= 10]  follow the founders of your favorite products.
  59  [A score= 10]  build the lever, point the lever, pull the lever.
  60  [A score= 10]  Keep me accountable 100 apps 100 essays 100 songs
  61  [A score= 10]  don't paint a picture, let time paint the picture.
  62  [A score= 10]  create the set first, then look for it's power law.
  63  [A score= 10]  put the story down when the protagonist passes you.
  64  [A score= 10]  do not underestimate history, mythology, and religion.
  65  [A score= 10]  don't get ahead of yourself, do one thing well before you add.
  66  [A score= 10]  use mimesis for the unimportant. use principles for the important.
  67  [A score= 10]  Build worlds. Dig rabbit holes / bunny trails. Give people what they want.
  68  [A score= 10]  Use your magic wand to create more magic wands (constructors from constructor theory).
  69  [A score= 10]  Be book smart and street smart. Be an excellent theorist and an excellent practitioner.
  70  [A score= 10]  Begin with the quest, then the companions: destroy the one ring, then add samwise gamgee.
  71  [A score=  9]  love is the path to mastery
  72  [A score=  9]  You are allowed to be wrong.
  73  [A score=  9]  You are not your worst deed.
  74  [A score=  9]  Tech is so much like shonen.
  75  [A score=  9]  love is actually the answer.
  76  [A score=  9]  Courage is an s tier virtue.
  77  [A score=  9]  We are at the very beginning.
  78  [A score=  9]  Africa is the heart of Pangea.
  79  [A score=  9]  Music is good for your health.
  80  [A score=  9]  We are in a golden age surely.
  81  [A score=  9]  Energy and clarity is the way.
  82  [A score=  9]  The calendar is the quest log.
  83  [A score=  9]  Lee Kuan Yew is my grandfather.
  84  [A score=  9]  Notes to self are notes to you.
  85  [A score=  9]  Songs are feelings in a bottle.
  86  [A score=  9]  Elon is unlocking the Mars DLC.
  87  [A score=  9]  The mind is powered by the legs.
  88  [A score=  9]  Religion is as true as music is.
  89  [A score=  9]  You are allowed to be imperfect.
  90  [A score=  9]  The human spirit is so inspiring.
  91  [A score=  9]  Everything is a work in progress.
  92  [A score=  9]  True creativity is in the prompt.
  93  [A score=  9]  You are both trainer and pokemon.
  94  [A score=  9]  Selling is just telling the truth.
  95  [A score=  9]  Art is made in the artist’s image.
  96  [A score=  9]  There is no speed limit to action.
  97  [A score=  9]  Humans are designed to be together.
  98  [A score=  9]  There are no rules besides physics.
  99  [A score=  9]  We are not at the end of knowledge.
 100  [A score=  9]  So many theses and copy are unclear.
 101  [A score=  9]  You are allowed to change your mind.
 102  [A score=  9]  Evolution is a "good enough" system.
 103  [A score=  9]  Every person is a mosaic of vectors.
 104  [A score=  9]  A string of good days is a good life.
 105  [A score=  9]  TV girl is the new smashing pumpkins.
 106  [A score=  9]  What people value is a dynamic thing.
 107  [A score=  9]  Money is a liquid, wealth is a solid.
 108  [A score=  9]  If there is doubt, there is no doubt.
 109  [A score=  9]  Now is all there ever was or will be.
 110  [A score=  9]  This is being written with Aqua Voice.
 111  [A score=  9]  Games are microcosms of the macrocosm.
 112  [A score=  9]  Brad Jacobs is the slowbro of business.
 113  [A score=  9]  There really is no moment but this one.
 114  [A score=  9]  MCPs are the humanoids of the internet.
 115  [A score=  9]  Vector sum is a great analogy for life.
 116  [A score=  9]  The converted skeptic is an evangelist.
 117  [A score=  9]  The world is full of dopamine dementors.
 118  [A score=  9]  We are valuable because we're different.
 119  [A score=  9]  I'll never give up. Death is at my back.
 120  [A score=  9]  The internet is psychedelic for humanity.
 121  [A score=  9]  Child labor, done right, is a good thing.
 122  [A score=  9]  Never forget there is infinity out there.
 123  [A score=  9]  Authenticity is in somewhat short supply.
 124  [A score=  9]  The grass is greenest where you water it.
 125  [A score=  9]  The absolute truth is impossible to vary.
 126  [A score=  9]  Status games are hilarious in retrospect.
 127  [A score=  9]  The reality that you want is programmable.
 128  [A score=  9]  The only thing to beg for is the question.
 129  [A score=  9]  Life is so much more than you think it is.
 130  [A score=  9]  The most common problem is problematizing.
 131  [A score=  9]  There is a beautiful path through infinity.
 132  [A score=  9]  Stable dynamism is possible and preferable.
 133  [A score=  9]  All you have to do is get the ball rolling.
 134  [A score=  9]  Flow is when the map and territory are one.
 135  [A score=  9]  There is a scientific way to solve problems.
 136  [A score=  9]  Google’s free tools are top of funnel plays.
 137  [A score=  9]  We are like songs that listen to each other.
 138  [A score=  9]  If it makes you laugh, there is truth in it.
 139  [A score=  9]  The deepest theme across both books is reach.
 140  [A score=  9]  The beginning of infinity is a hero’s journey.
 141  [A score=  9]  There really is no need to fear, I've learned.
 142  [A score=  9]  Anxiety is cured through baby step approaches.
 143  [A score=  9]  Automation is mightily fun, but the last step.
 144  [A score=  9]  All it takes is one thing to change your life.
