tag	score	line	reasons
A	13	Love is what it’s all for.	len6+5/end.+2/capStart+1/isAre+1/imp+4
A	13	Love is a verb. Do it daily.	len7+5/end.+2/capStart+1/isAre+1/imp+4
A	12	Take matters into your own hands.	len6+5/end.+2/capStart+1/imp+4
A	12	Act like an owner to gain ownership.	len7+5/end.+2/capStart+1/imp+4
A	12	Be an opportunity detector and sniper.	len6+5/end.+2/capStart+1/imp+4
A	12	Build windmills before the wind blows.	len6+5/end.+2/capStart+1/imp+4
A	12	Be clear about what game you're playing.	len7+5/end.+2/capStart+1/imp+4
A	12	Don't project your frugality onto others.	len6+5/end.+2/capStart+1/imp+4
A	12	Be grateful for your para-social mentors.	len6+5/end.+2/capStart+1/imp+4
A	12	Give into the placebo, it actually helps.	len7+5/end.+2/capStart+1/imp+4
A	12	Do it casually on purpose to get started.	len8+5/end.+2/capStart+1/imp+4
A	12	Find the explanation behind the statistics.	len6+5/end.+2/capStart+1/imp+4
A	12	Use LLMs to digest and catalyze text / ideas.	len9+5/end.+2/capStart+1/imp+4
A	12	Don't take the concept of "God" too literally.	len8+5/end.+2/capStart+1/imp+4
A	12	Love and death summon courage and clarify things.	len8+5/end.+2/capStart+1/imp+4
A	12	Close loops and get all the balls out of your court.	len11+5/end.+2/capStart+1/imp+4
A	12	Keep the sabbath holy. Remember what matters in life.	len9+5/end.+2/capStart+1/imp+4
A	12	Have a theory of mind for others. Empathy some call it.	len11+5/end.+2/capStart+1/imp+4
A	12	Take children more seriously. Take adults less seriously.	len8+5/end.+2/capStart+1/imp+4
A	12	Listen to someone's mother tongue to hear their true articulation.	len10+5/end.+2/capStart+1/imp+4
A	12	Don't disturb people with headphones on! Common sense ain't so common.	len11+5/end.+2/capStart+1/imp+4
A	11	Love is a verb.	len4+3/end.+2/capStart+1/isAre+1/imp+4
A	11	Remember that you are free.	len5+3/end.+2/capStart+1/isAre+1/imp+4
A	11	Trust is rebuilt when the track record is solid	len9+5/capStart+1/isAre+1/imp+4
A	11	keep subtracting, and what is left, is the answer.	len9+5/end.+2/lowerStart-1/isAre+1/imp+4
A	11	Love is a language. You may not speak the same one, from person to person.	len15+3/end.+2/capStart+1/isAre+1/imp+4
A	10	Set the truth free.	len4+3/end.+2/capStart+1/imp+4
